# Sim v1 (Up to date)
# 3372 data points written for 12 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (68,9 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (16.3 oz) 90.5 in^3]"
#
# Temps (s),Altitude (m),Vitesse totale (m/s),Masse (g),Emplacement du CP (cm),Emplacement du CG (cm),Calibres marge de stabilité (​),Coefficient de force normale (​),Température de l'air (°C),Pression atmosphérique (mbar),Air density (g/cm³),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,2.367e4,NaN,199.924,NaN,NaN,15,1013.25,0.001,0.007
0.01,0,0.01,2.367e4,NaN,199.921,NaN,NaN,15,1013.25,0.001,0.007
0.02,5.23e-4,0.136,2.366e4,NaN,199.917,NaN,NaN,15,1013.25,0.001,0.007
0.03,0.003,0.407,2.366e4,NaN,199.914,NaN,NaN,15,1013.25,0.001,0.007
0.04,0.009,0.824,2.366e4,NaN,199.911,NaN,NaN,15,1013.249,0.001,0.008
0.05,0.019,1.331,2.365e4,NaN,199.903,NaN,NaN,15,1013.248,0.001,0.009
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.034,1.872,2.364e4,NaN,199.895,NaN,NaN,15,1013.246,0.001,0.01
0.07,0.054,2.445,2.363e4,NaN,199.887,NaN,NaN,15,1013.244,0.001,0.011
0.08,0.08,3.052,2.362e4,NaN,199.88,NaN,NaN,14.999,1013.241,0.001,0.013
0.09,0.112,3.678,2.361e4,NaN,199.871,NaN,NaN,14.999,1013.237,0.001,0.014
0.1,0.151,4.307,2.36e4,NaN,199.862,NaN,NaN,14.999,1013.232,0.001,0.016
0.11,0.195,4.94,2.359e4,NaN,199.854,NaN,NaN,14.999,1013.227,0.001,0.018
0.12,0.245,5.575,2.358e4,NaN,199.845,NaN,NaN,14.998,1013.221,0.001,0.019
0.13,0.302,6.214,2.357e4,NaN,199.836,NaN,NaN,14.998,1013.215,0.001,0.021
0.14,0.365,6.856,2.356e4,NaN,199.827,NaN,NaN,14.998,1013.207,0.001,0.023
0.15,0.434,7.501,2.355e4,NaN,199.819,NaN,NaN,14.997,1013.199,0.001,0.025
0.16,0.509,8.15,2.354e4,NaN,199.81,NaN,NaN,14.997,1013.19,0.001,0.027
0.17,0.591,8.802,2.353e4,NaN,199.801,NaN,NaN,14.996,1013.181,0.001,0.028
0.18,0.678,9.457,2.351e4,NaN,199.792,NaN,NaN,14.996,1013.17,0.001,0.03
0.19,0.773,10.115,2.35e4,NaN,199.784,NaN,NaN,14.995,1013.159,0.001,0.032
0.201,0.883,10.842,2.349e4,NaN,199.774,NaN,NaN,14.994,1013.146,0.001,0.034
# Event LAUNCHROD occurred at t=0.21 seconds
0.21,0.982,11.454,2.348e4,219.353,199.766,1.306,4.389,14.994,1013.135,0.001,0.036
0.224,1.141,12.373,2.347e4,220.296,199.753,1.369,3.978,14.993,1013.116,0.001,0.039
0.245,1.402,13.754,2.345e4,221.55,199.734,1.454,3.466,14.991,1013.086,0.001,0.042
0.276,1.845,15.828,2.341e4,222.572,199.706,1.524,3.076,14.988,1013.034,0.001,0.049
0.323,2.625,18.95,2.336e4,223.636,199.664,1.598,2.696,14.983,1012.942,0.001,0.058
0.373,3.615,22.305,2.331e4,224.599,199.618,1.665,2.371,14.977,1012.826,0.001,0.068
0.423,4.766,25.672,2.325e4,225.623,199.572,1.737,2.044,14.969,1012.691,0.001,0.077
0.447,5.386,27.317,2.323e4,226.161,199.549,1.774,1.88,14.965,1012.618,0.001,0.082
0.484,6.387,29.793,2.319e4,226.485,199.515,1.798,1.784,14.958,1012.501,0.001,0.09
0.534,7.897,33.196,2.313e4,227.26,199.468,1.853,1.561,14.949,1012.324,0.001,0.1
0.584,9.569,36.619,2.308e4,228.41,199.421,1.933,1.244,14.938,1012.128,0.001,0.11
0.634,11.404,40.062,2.303e4,229.694,199.374,2.021,0.912,14.926,1011.913,0.001,0.12
0.678,13.172,43.138,2.298e4,230.932,199.331,2.107,0.612,14.914,1011.705,0.001,0.129
0.728,15.317,46.683,2.292e4,232.404,199.282,2.208,0.278,14.9,1011.454,0.001,0.139
0.758,16.684,48.882,2.289e4,233.213,199.252,2.264,0.105,14.892,1011.293,0.001,0.145
0.803,18.851,52.183,2.284e4,233.364,199.207,2.277,0.076,14.877,1011.039,0.001,0.155
0.853,21.418,55.762,2.278e4,232.553,199.156,2.226,0.252,14.861,1010.738,0.001,0.166
0.903,24.149,59.303,2.272e4,231.984,199.103,2.192,0.382,14.843,1010.418,0.001,0.176
0.953,27.041,62.866,2.266e4,231.585,199.05,2.169,0.476,14.824,1010.079,0.001,0.187
1.003,30.096,66.451,2.26e4,231.354,198.997,2.157,0.533,14.804,1009.72,0.001,0.197
1.053,33.312,70.057,2.254e4,231.402,198.943,2.164,0.526,14.783,1009.343,0.001,0.208
1.103,36.668,73.661,2.248e4,231.727,198.889,2.189,0.455,14.762,1008.949,0.001,0.219
1.153,40.21,77.315,2.243e4,232.405,198.835,2.238,0.305,14.739,1008.534,0.001,0.229
1.203,43.918,80.992,2.237e4,233.194,198.78,2.294,0.137,14.715,1008.099,0.001,0.24
1.253,47.792,84.693,2.231e4,233.684,198.725,2.331,0.036,14.689,1007.645,0.001,0.251
1.303,51.836,88.416,2.225e4,233.097,198.67,2.295,0.166,14.663,1007.171,0.001,0.262
1.353,56.05,92.159,2.219e4,232.661,198.615,2.27,0.266,14.636,1006.676,0.001,0.273
1.403,60.436,95.922,2.213e4,232.62,198.559,2.271,0.28,14.607,1006.162,0.001,0.284
1.45,64.755,99.508,2.207e4,232.713,198.506,2.281,0.265,14.579,1005.655,0.001,0.295
1.497,69.174,103.065,2.202e4,233.068,198.453,2.308,0.192,14.55,1005.137,0.001,0.306
1.547,74.061,106.882,2.196e4,233.863,198.396,2.364,0.025,14.519,1004.564,0.001,0.317
1.597,79.122,110.716,2.19e4,233.34,198.339,2.333,0.143,14.486,1003.97,0.001,0.328
1.647,84.356,114.565,2.184e4,233.088,198.282,2.32,0.205,14.452,1003.356,0.001,0.34
1.691,89.116,117.975,2.179e4,233.067,198.231,2.322,0.215,14.421,1002.798,0.001,0.35
1.731,93.529,121.066,2.174e4,233.31,198.185,2.342,0.166,14.392,1002.281,0.001,0.359
1.779,99.058,124.85,2.168e4,233.798,198.129,2.378,0.066,14.356,1001.632,0.001,0.37
1.829,104.925,128.765,2.163e4,233.929,198.071,2.391,0.044,14.318,1000.944,0.001,0.381
1.879,110.968,132.696,2.157e4,233.551,198.012,2.369,0.134,14.279,1000.235,0.001,0.393
1.929,117.143,136.614,2.151e4,233.544,197.953,2.373,0.143,14.239,999.511,0.001,0.404
1.973,122.747,140.088,2.146e4,233.829,197.901,2.395,0.086,14.202,998.854,0.001,0.414
2.023,129.305,144.062,2.14e4,234.23,197.842,2.426,0.007,14.16,998.085,0.001,0.426
2.073,136.042,148.049,2.134e4,233.906,197.782,2.408,0.085,14.116,997.295,0.001,0.438
2.123,142.958,152.049,2.128e4,233.892,197.721,2.411,0.097,14.071,996.483,0.001,0.45
2.173,150.052,156.063,2.122e4,234.175,197.661,2.434,0.043,14.025,995.651,0.001,0.462
2.223,157.325,160.09,2.116e4,234.251,197.6,2.443,0.035,13.977,994.798,0.001,0.474
2.273,164.78,164.129,2.11e4,234.07,197.538,2.435,0.085,13.929,993.924,0.001,0.486
2.323,172.404,168.172,2.104e4,234.278,197.477,2.453,0.048,13.879,993.03,0.001,0.497
2.373,180.223,172.232,2.098e4,234.457,197.415,2.469,0.018,13.829,992.113,0.001,0.509
2.425,188.588,176.486,2.092e4,234.354,197.349,2.467,0.053,13.774,991.132,0.001,0.522
2.475,196.779,180.614,2.086e4,234.454,197.281,2.478,0.045,13.721,990.171,0.001,0.534
2.52,204.31,184.421,2.08e4,234.711,197.22,2.499,0.001,13.672,989.288,0.001,0.546
2.57,212.859,188.699,2.073e4,234.624,197.149,2.498,0.038,13.616,988.285,0.001,0.558
2.62,221.599,192.976,2.067e4,234.733,197.078,2.51,0.032,13.56,987.26,0.001,0.571
2.67,230.532,197.251,2.06e4,234.953,197.006,2.53,0.003,13.502,986.212,0.001,0.584
2.72,239.655,201.524,2.054e4,234.914,196.934,2.532,0.033,13.442,985.143,0.001,0.596
2.761,247.277,205.025,2.048e4,235.032,196.874,2.544,0.025,13.393,984.249,0.001,0.607
2.811,256.745,209.288,2.042e4,235.21,196.801,2.561,0.009,13.331,983.138,0.001,0.619
2.861,266.403,213.541,2.035e4,235.273,196.727,2.57,0.02,13.268,982.005,0.001,0.632
2.911,276.251,217.782,2.028e4,235.465,196.652,2.588,0.003,13.204,980.85,0.001,0.644
2.961,286.287,222.012,2.022e4,235.519,196.577,2.596,0.018,13.139,979.673,0.001,0.657
3.011,296.511,226.229,2.015e4,235.7,196.502,2.613,0.005,13.073,978.474,0.001,0.669
3.061,306.921,230.433,2.008e4,235.782,196.426,2.624,0.017,13.005,977.253,0.001,0.682
3.111,317.519,234.622,2.002e4,235.914,196.35,2.638,0.018,12.936,976.01,0.001,0.694
3.161,328.303,238.795,1.995e4,236.07,196.273,2.653,0.014,12.866,974.746,0.001,0.707
3.211,339.272,242.952,1.988e4,236.19,196.195,2.666,0.019,12.795,973.459,0.001,0.719
3.261,350.424,247.093,1.982e4,236.358,196.117,2.683,0.015,12.722,972.151,0.001,0.732
3.311,361.759,251.215,1.975e4,236.514,196.039,2.698,0.013,12.649,970.822,0.001,0.744
3.361,373.277,255.319,1.969e4,236.669,195.959,2.714,0.013,12.574,969.471,0.001,0.756
3.411,384.976,259.403,1.962e4,236.815,195.88,2.729,0.015,12.498,968.099,0.001,0.768
3.434,390.417,261.274,1.959e4,236.94,195.843,2.74,0.002,12.462,967.461,0.001,0.774
3.469,398.651,264.08,1.954e4,237.003,195.787,2.748,0.013,12.409,966.495,0.001,0.782
3.519,410.736,268.146,1.948e4,237.195,195.705,2.766,0.005,12.33,965.077,0.001,0.794
3.569,423.002,272.212,1.941e4,237.341,195.622,2.781,0.009,12.25,963.639,0.001,0.806
3.619,435.446,276.277,1.934e4,237.533,195.539,2.8,0.003,12.17,962.179,0.001,0.818
3.669,448.07,280.339,1.927e4,237.673,195.455,2.815,0.01,12.088,960.699,0.001,0.831
3.715,459.971,284.113,1.921e4,237.868,195.377,2.833,0.002,12.01,959.303,0.001,0.842
3.765,472.94,288.158,1.914e4,238.006,195.29,2.848,0.011,11.926,957.782,0.001,0.854
3.815,486.087,292.182,1.907e4,238.218,195.203,2.868,0.001,11.84,956.24,0.001,0.866
3.865,499.411,296.182,1.9e4,238.37,195.115,2.884,0.008,11.754,954.677,0.001,0.878
3.915,512.911,300.156,1.894e4,238.579,195.027,2.903,5.617e-4,11.666,953.166,0.001,0.89
3.965,526.585,304.103,1.887e4,238.739,194.938,2.92,0.006,11.577,951.638,0.001,0.902
4.015,540.432,308.019,1.88e4,238.938,194.848,2.939,0.001,11.487,950.091,0.001,0.913
4.065,554.45,311.904,1.873e4,239.108,194.758,2.957,0.003,11.396,948.525,0.001,0.925
4.077,557.84,312.831,1.871e4,239.146,194.736,2.961,0.005,11.374,948.146,0.001,0.928
4.095,562.943,314.217,1.869e4,239.211,194.703,2.967,0.005,11.341,947.576,0.001,0.932
4.122,570.638,316.282,1.865e4,239.321,194.654,2.978,8.243e-4,11.291,946.716,0.001,0.938
4.163,582.272,319.35,1.86e4,239.442,194.58,2.991,0.006,11.215,945.416,0.001,0.947
4.213,596.785,323.082,1.853e4,239.63,194.489,3.009,4.673e-4,11.121,943.795,0.001,0.958
4.263,611.459,326.742,1.846e4,239.769,194.396,3.025,0.007,11.026,942.156,0.001,0.969
4.313,626.293,330.328,1.839e4,239.935,194.303,3.042,0.005,10.929,940.498,0.001,0.98
4.363,641.281,333.838,1.832e4,240.096,194.209,3.059,0.002,10.832,938.824,0.001,0.991
4.413,656.422,337.274,1.826e4,240.24,194.115,3.075,0.001,10.733,937.132,0.001,1.001
4.463,671.71,340.638,1.819e4,240.371,194.02,3.09,0.002,10.634,935.424,0.001,1.011
4.513,687.144,343.932,1.812e4,240.507,193.924,3.106,4.674e-4,10.534,933.7,0.001,1.021
4.563,702.72,347.161,1.805e4,240.62,193.827,3.12,0.003,10.432,931.959,0.001,1.031
4.613,718.435,350.331,1.798e4,240.734,193.73,3.134,0.003,10.33,930.204,0.001,1.04
4.663,734.287,353.449,1.791e4,240.846,193.632,3.148,0.002,10.227,928.433,0.001,1.05
4.713,750.273,356.519,1.785e4,240.947,193.533,3.161,0.001,10.123,926.646,0.001,1.059
4.763,766.392,359.547,1.778e4,241.038,193.433,3.174,0.002,10.018,924.846,0.001,1.068
4.813,782.641,362.537,1.771e4,241.126,193.333,3.186,0.001,9.913,923.03,0.001,1.077
4.863,799.018,365.492,1.764e4,241.205,193.231,3.198,0.001,9.806,921.2,0.001,1.086
4.913,815.523,368.419,1.757e4,241.268,193.13,3.209,0.004,9.699,919.356,0.001,1.095
