# Sim v1 (Up to date)
# 3375 data points written for 58 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (68,5 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (16.3 oz) 90.5 in^3]"
#
# Temps (s),Altitude (m),Altitude above sea level (m),Vitesse verticale (m/s),Vitesse totale (m/s),Accélération verticale (m/s²),Accélération totale (m/s²),Position à l'est du lancement (m),Position au nord du lancement (m),Distance latérale (m),Direction latérale (°),Vitesse latérale (m/s),Accélération latérale (m/s²),Latitude (° N),Longitude (° E),Angle d'attaque (°),Taux de roulis (°/s),Taux de tangage (°/s),Taux d'embardée (°/s),Orientation verticale (zénith) (°),Orientation latérale (azimut) (°),Masse (g),Masse du propergol (g),Moment d'inertie longitudinale (kg·m²),Moment d'inertie rotatif (kg·m²),Accélération Gravitationnelle (m/s²),Emplacement du CP (cm),Emplacement du CG (cm),Calibres marge de stabilité (​),Poussée (N),Thrust-to-weight ratio (​),Force de traînée (N),Coefficient de traînée (​),Coefficient de traînée de friction (​),Coefficient de traînée de pression (​),Coefficient de traînée de base (​),Coefficient de trainée axiale (​),Coefficient de force normale (​),Coefficient de moment de tangage (​),Coefficient de moment d'embardée  (​),Coefficient de force latérale  (​),Coefficient de moment de roulis  (​),Coefficient de forçage de roulis (​),Coefficient d'amortissement de roulis (​),Coefficient d'amortissement de tangage (​),Vitesse de vent (m/s),Wind direction (°),Température de l'air (°C),Pression atmosphérique (mbar),Air density (g/cm³),Vitesse du son (m/s),Mach number (​),Nombre de Reynolds (​),Longueur de référence (cm),Surface de référence (cm²),Pas de simulation du temps (s),Temps de calcul (s),Accélération de Coriolis (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,75,0,0,0,75,90,2.367e4,1.325e4,6.725,0.084,9.792,NaN,199.924,NaN,0,0,0.001,0.661,0.492,0.049,0.12,0.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.008,90,15,1013.25,0.001,340.389,0.006,3.883e5,15,176.715,0.01,0.036,0
0.01,0,0,0.007,0.01,4.316,5.727,0,0,0,0,0.006,3.764,28.61,-80.6,74.797,0,0,0,75,90,2.367e4,1.324e4,6.725,0.084,9.792,NaN,199.921,NaN,345.615,1.491,0.001,0.66,0.49,0.049,0.12,0.026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.028,90,15,1013.25,0.001,340.389,0.006,3.933e5,15,176.715,0.01,0.044,1.298e-6
0.02,5.229e-4,5.229e-4,0.121,0.136,18.426,19.91,3.139e-4,0,3.139e-4,90,0.063,7.544,28.61,-80.6,71.721,0,0,0,75,90,2.366e4,1.324e4,6.724,0.084,9.792,NaN,199.917,NaN,691.23,2.983,0.002,0.656,0.486,0.049,0.12,0.043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.047,90,15,1013.25,0.001,340.389,0.006,4.086e5,15,176.715,0.01,0.047,1.799e-5
0.03,0.003,0.003,0.376,0.407,32.541,34.455,0.001,0,0.001,90,0.157,11.323,28.61,-80.6,65.41,0,0,0,75,90,2.366e4,1.324e4,6.724,0.084,9.792,NaN,199.914,NaN,1036.845,4.475,0.005,0.649,0.48,0.049,0.12,0.096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.067,90,15,1013.25,0.001,340.389,0.007,4.361e5,15,176.715,0.01,0.049,5.329e-5
0.04,0.009,0.009,0.772,0.824,46.661,49.044,0.004,0,0.004,90,0.289,15.103,28.61,-80.6,57.002,0,0,0,75,90,2.366e4,1.323e4,6.723,0.084,9.792,NaN,199.911,NaN,1382.46,5.968,0.014,0.639,0.469,0.049,0.12,0.203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.086,90,15,1013.249,0.001,340.389,0.007,4.829e5,15,176.715,0.01,0.051,1.074e-4
0.05,0.019,0.019,1.255,1.331,49.918,52.41,0.007,5.961e-9,0.007,90,0.445,15.969,28.61,-80.6,48.805,0,0,0,75,90,2.365e4,1.322e4,6.722,0.084,9.792,NaN,199.903,NaN,1461.632,6.312,0.029,0.626,0.456,0.049,0.12,0.337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.106,90,15,1013.248,0.001,340.389,0.008,5.495e5,15,176.715,0.01,0.052,1.732e-4
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.034,0.034,1.77,1.872,53.824,55.723,0.013,1.276e-8,0.013,90,0.609,14.422,28.61,-80.6,41.82,0,0,0,75,90,2.364e4,1.321e4,6.721,0.084,9.792,NaN,199.895,NaN,1540.804,6.657,0.052,0.614,0.444,0.049,0.12,0.463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.098,90,15,1013.246,0.001,340.389,0.01,6.254e5,15,176.715,0.01,0.055,2.434e-4
0.07,0.054,0.054,2.325,2.445,57.084,59.098,0.019,2.149e-8,0.019,90,0.757,15.296,28.61,-80.6,35.782,0,0,0,75,90,2.363e4,1.32e4,6.72,0.084,9.792,NaN,199.887,NaN,1619.975,7.001,0.083,0.602,0.433,0.049,0.12,0.568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.091,90,15,1013.244,0.001,340.389,0.011,7.109e5,15,176.715,0.01,0.057,3.175e-4
0.08,0.08,0.08,2.912,3.052,60.346,62.475,0.028,3.022e-8,0.028,90,0.914,16.17,28.61,-80.6,30.842,0,0,0,75,90,2.362e4,1.319e4,6.719,0.084,9.792,NaN,199.88,NaN,1699.147,7.347,0.121,0.591,0.421,0.049,0.12,0.641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.084,90,14.999,1013.241,0.001,340.389,0.012,8.081e5,15,176.715,0.01,0.059,3.96e-4
