# Sim v1 (Up to date)
# 3393 data points written for 58 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (67.9 m/s):  "Iris Ultra Compact Parachute [Cd 2.2 (16.3 oz) 90.5 in^3]"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,75,0,0,0,75,90,2.367e4,1.325e4,6.725,0.084,9.792,NaN,199.924,NaN,0,0,8.773e-4,0.675,0.505,0.049,0.12,0.026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.774,90,15,1013.25,0.001,340.389,0.005,3.43e5,15,176.715,0.01,0.041,0
0.01,0,0,0.007,0.01,4.315,5.729,0,0,0,0,0.006,3.768,28.61,-80.6,74.769,0,0,0,75,90,2.367e4,1.324e4,6.725,0.084,9.792,NaN,199.921,NaN,345.615,1.491,9.223e-4,0.674,0.505,0.049,0.12,0.027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.774,90,15,1013.25,0.001,340.389,0.005,3.443e5,15,176.715,0.01,0.052,1.299e-6
0.02,5.228e-4,5.228e-4,0.121,0.136,18.425,19.911,3.142e-4,0,3.142e-4,90,0.063,7.548,28.61,-80.6,71.236,0,0,0,75,90,2.366e4,1.324e4,6.724,0.084,9.792,NaN,199.917,NaN,691.23,2.983,0.002,0.671,0.501,0.049,0.12,0.048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.775,90,15,1013.25,0.001,340.389,0.005,3.561e5,15,176.715,0.01,0.054,1.799e-5
0.03,0.003,0.003,0.376,0.407,32.54,34.455,0.001,0,0.001,90,0.157,11.328,28.61,-80.6,63.998,0,0,0,75,90,2.366e4,1.324e4,6.724,0.084,9.792,NaN,199.914,NaN,1036.845,4.475,0.005,0.663,0.494,0.049,0.12,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.775,90,15,1013.25,0.001,340.389,0.006,3.806e5,15,176.715,0.01,0.057,5.329e-5
0.04,0.009,0.009,0.772,0.824,46.66,49.044,0.004,0,0.004,90,0.289,15.108,28.61,-80.6,54.51,0,0,0,75,90,2.366e4,1.323e4,6.723,0.084,9.792,NaN,199.911,NaN,1382.46,5.968,0.013,0.651,0.482,0.049,0.12,0.247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.776,90,15,1013.249,0.001,340.389,0.006,4.262e5,15,176.715,0.01,0.06,1.074e-4
0.05,0.019,0.019,1.255,1.331,49.916,52.41,0.007,5.964e-9,0.007,90,0.445,15.975,28.61,-80.6,45.538,0,0,0,75,90,2.365e4,1.322e4,6.722,0.084,9.792,NaN,199.903,NaN,1461.632,6.312,0.029,0.636,0.467,0.049,0.12,0.406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.776,90,15,1013.248,0.001,340.389,0.007,4.932e5,15,176.715,0.01,0.061,1.732e-4
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.034,0.034,1.77,1.872,53.824,55.723,0.013,1.277e-8,0.013,90,0.609,14.422,28.61,-80.6,38.632,0,0,0,75,90,2.364e4,1.321e4,6.721,0.084,9.792,NaN,199.895,NaN,1540.804,6.657,0.051,0.621,0.452,0.049,0.12,0.531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.795,90,15,1013.246,0.001,340.389,0.009,5.772e5,15,176.715,0.01,0.064,2.434e-4
0.07,0.054,0.054,2.325,2.445,57.084,59.098,0.019,2.15e-8,0.019,90,0.757,15.296,28.61,-80.6,32.885,0,0,0,75,90,2.363e4,1.32e4,6.72,0.084,9.792,NaN,199.887,NaN,1619.975,7.001,0.081,0.607,0.438,0.049,0.12,0.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.814,90,15,1013.244,0.001,340.389,0.01,6.702e5,15,176.715,0.01,0.067,3.175e-4
0.08,0.08,0.08,2.912,3.052,60.346,62.475,0.028,3.023e-8,0.028,90,0.915,16.17,28.61,-80.6,28.34,0,0,0,75,90,2.362e4,1.319e4,6.719,0.084,9.792,NaN,199.88,NaN,1699.147,7.347,0.118,0.595,0.425,0.049,0.12,0.683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.833,90,14.999,1013.241,0.001,340.389,0.012,7.741e5,15,176.715,0.01,0.071,3.96e-4
